"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 09 16:39:02 CST 2022","Wed Mar 09 16:39:02 CST 2022","134","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（带商品）销售状态为0、促销状态为1","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:02 CST 2022","Wed Mar 09 16:39:02 CST 2022","132","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（不带商品）销售状态为1、促销状态为1","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:06 CST 2022","Wed Mar 09 16:39:06 CST 2022","297","testcases.test_business_token_order_items05","test_business_token_order_items01","TestOrderItems","","","订单信息查询订单编号错误","订单信息查询接口测试用例"
"passed","Wed Mar 09 16:38:50 CST 2022","Wed Mar 09 16:38:50 CST 2022","118","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名包含特殊符号的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:56 CST 2022","Wed Mar 09 16:38:57 CST 2022","153","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品描述无效边界","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:39:04 CST 2022","Wed Mar 09 16:39:04 CST 2022","125","testcases.test_business_token_login02","test_login05","TestLogin","","","测试用户名错误的场景","商品登录模块接口测试用例"
"passed","Wed Mar 09 16:39:03 CST 2022","Wed Mar 09 16:39:03 CST 2022","129","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—促销状态为非枚举","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:00 CST 2022","Wed Mar 09 16:39:00 CST 2022","125","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—token为空","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:49 CST 2022","Wed Mar 09 16:38:50 CST 2022","120","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名已存在的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:58 CST 2022","Wed Mar 09 16:38:58 CST 2022","132","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品价格超过最大值","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:39:01 CST 2022","Wed Mar 09 16:39:01 CST 2022","152","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（不带商品）促销状态为1","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:49 CST 2022","Wed Mar 09 16:38:49 CST 2022","117","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名为5位无效边界值的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:56 CST 2022","Wed Mar 09 16:38:56 CST 2022","138","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品描述有效边界","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:50 CST 2022","Wed Mar 09 16:38:50 CST 2022","123","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名后包含空格的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:54 CST 2022","Wed Mar 09 16:38:54 CST 2022","139","testcases.test_business_register03","test_business_register03","TestRegister","","","邮箱已注册的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:58 CST 2022","Wed Mar 09 16:38:58 CST 2022","158","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品价格为整数","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:53 CST 2022","Wed Mar 09 16:38:53 CST 2022","125","testcases.test_business_register03","test_business_register03","TestRegister","","","性别为男+女的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:57 CST 2022","Wed Mar 09 16:38:57 CST 2022","126","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品库存为负数","商品信息录入接口测试用例"
"failed","Wed Mar 09 16:38:55 CST 2022","Wed Mar 09 16:38:55 CST 2022","147","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品信息录入—上一次token值","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:39:00 CST 2022","Wed Mar 09 16:39:00 CST 2022","131","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","测试该商品已经在促销状态，不能再次开启促销","商品促销设置接口测试用例"
"passed","Wed Mar 09 16:39:06 CST 2022","Wed Mar 09 16:39:06 CST 2022","179","testcases.test_business_token_order_items05","test_business_token_order_items01","TestOrderItems","","","订单信息查询订单编号为空","订单信息查询接口测试用例"
"passed","Wed Mar 09 16:39:04 CST 2022","Wed Mar 09 16:39:05 CST 2022","126","testcases.test_business_token_login02","test_login05","TestLogin","","","测试用户类型为空的场景","商品登录模块接口测试用例"
"passed","Wed Mar 09 16:39:03 CST 2022","Wed Mar 09 16:39:03 CST 2022","131","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—不存在的商品编号（6位数字）","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:53 CST 2022","Wed Mar 09 16:38:53 CST 2022","150","testcases.test_business_register03","test_business_register03","TestRegister","","","qq为空的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:49 CST 2022","Wed Mar 09 16:38:49 CST 2022","118","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名为9位无效边界值的场景","商品注册模块接口测试用例"
"failed","Wed Mar 09 16:38:58 CST 2022","Wed Mar 09 16:38:58 CST 2022","131","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","正常流程","商品促销设置接口测试用例"
"passed","Wed Mar 09 16:39:00 CST 2022","Wed Mar 09 16:39:00 CST 2022","129","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","测试商品编号不存在","商品促销设置接口测试用例"
"passed","Wed Mar 09 16:38:55 CST 2022","Wed Mar 09 16:38:55 CST 2022","126","testcases.test_business_token_goods_delete08","test_business_token_goods_delete01","TestGoodsDelete","","","测试商品编号的商品没下架","商品删除模块几口测试用例"
"passed","Wed Mar 09 16:38:50 CST 2022","Wed Mar 09 16:38:50 CST 2022","118","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名前包含空格的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:52 CST 2022","Wed Mar 09 16:38:52 CST 2022","118","testcases.test_business_register03","test_business_register03","TestRegister","","","手机号为空的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:57 CST 2022","Wed Mar 09 16:38:57 CST 2022","127","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品库存为小数","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:52 CST 2022","Wed Mar 09 16:38:52 CST 2022","129","testcases.test_business_register03","test_business_register03","TestRegister","","","性别为空的场景的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:58 CST 2022","Wed Mar 09 16:38:58 CST 2022","128","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","测试促销开始时间为空的场景","商品促销设置接口测试用例"
"passed","Wed Mar 09 16:38:51 CST 2022","Wed Mar 09 16:38:51 CST 2022","120","testcases.test_business_register03","test_business_register03","TestRegister","","","确认密码为空的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:53 CST 2022","Wed Mar 09 16:38:53 CST 2022","118","testcases.test_business_register03","test_business_register03","TestRegister","","","生日为非数字","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:39:04 CST 2022","Wed Mar 09 16:39:04 CST 2022","130","testcases.test_business_token_login02","test_login05","TestLogin","","","测试密码输入错误的场景","商品登录模块接口测试用例"
"passed","Wed Mar 09 16:38:53 CST 2022","Wed Mar 09 16:38:53 CST 2022","118","testcases.test_business_register03","test_business_register03","TestRegister","","","生日为非时间格式的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:49 CST 2022","Wed Mar 09 16:38:49 CST 2022","144","testcases.test_business_regist_json09","test_business_regist_json01","TestRegistJson","","","test_regist_json[case0]",""
"passed","Wed Mar 09 16:39:01 CST 2022","Wed Mar 09 16:39:01 CST 2022","130","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（不带商品）销售状态为0、促销状态为1","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:05 CST 2022","Wed Mar 09 16:39:05 CST 2022","139","testcases.test_business_token_login02","test_login05","TestLogin","","","测试用户类型格式错误的场景","商品登录模块接口测试用例"
"failed","Wed Mar 09 16:39:04 CST 2022","Wed Mar 09 16:39:04 CST 2022","190","testcases.test_business_token_login02","test_login05","TestLogin","","","测试密码区分大小写的场景","商品登录模块接口测试用例"
"passed","Wed Mar 09 16:38:50 CST 2022","Wed Mar 09 16:38:50 CST 2022","122","testcases.test_business_register03","test_business_register03","TestRegister","","","密码为空的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:55 CST 2022","Wed Mar 09 16:38:55 CST 2022","137","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","正常的流程","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:52 CST 2022","Wed Mar 09 16:38:52 CST 2022","124","testcases.test_business_register03","test_business_register03","TestRegister","","","手机号为不支持的号段的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:59 CST 2022","Wed Mar 09 16:38:59 CST 2022","126","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","测试促销开始时间小于当前时间","商品促销设置接口测试用例"
"passed","Wed Mar 09 16:38:54 CST 2022","Wed Mar 09 16:38:54 CST 2022","163","testcases.test_business_token_goods_delete08","test_business_token_goods_delete01","TestGoodsDelete","","","正常流程","商品删除模块几口测试用例"
"passed","Wed Mar 09 16:38:53 CST 2022","Wed Mar 09 16:38:53 CST 2022","132","testcases.test_business_register03","test_business_register03","TestRegister","","","生日为空的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:39:01 CST 2022","Wed Mar 09 16:39:02 CST 2022","130","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（不带商品）销售状态为1、促销状态为0","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:55 CST 2022","Wed Mar 09 16:38:55 CST 2022","127","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品名为空的场景","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:39:03 CST 2022","Wed Mar 09 16:39:03 CST 2022","129","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—存在的商品编号（6位数字）","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:54 CST 2022","Wed Mar 09 16:38:54 CST 2022","117","testcases.test_business_register03","test_business_register03","TestRegister","","","邮箱格式错误的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:59 CST 2022","Wed Mar 09 16:39:00 CST 2022","152","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","测试商品编号为空","商品促销设置接口测试用例"
"passed","Wed Mar 09 16:38:55 CST 2022","Wed Mar 09 16:38:55 CST 2022","134","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品信息录入——token区分大小写","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:58 CST 2022","Wed Mar 09 16:38:58 CST 2022","124","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品价格为0","商品信息录入接口测试用例"
"failed","Wed Mar 09 16:39:03 CST 2022","Wed Mar 09 16:39:03 CST 2022","129","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（带商品）销售状态为1、促销状态为1","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:54 CST 2022","Wed Mar 09 16:38:54 CST 2022","130","testcases.test_business_token_goods_delete08","test_business_token_goods_delete01","TestGoodsDelete","","","测试商品编号不存在","商品删除模块几口测试用例"
"passed","Wed Mar 09 16:39:01 CST 2022","Wed Mar 09 16:39:01 CST 2022","126","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（不带商品）销售状态为0、促销状态为0","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:00 CST 2022","Wed Mar 09 16:39:00 CST 2022","159","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—token区分大小写","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:50 CST 2022","Wed Mar 09 16:38:50 CST 2022","131","testcases.test_business_register03","test_business_register03","TestRegister","","","密码为8位有效边界值的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:39:00 CST 2022","Wed Mar 09 16:39:00 CST 2022","126","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","测试商品编号格式错误","商品促销设置接口测试用例"
"passed","Wed Mar 09 16:38:50 CST 2022","Wed Mar 09 16:38:50 CST 2022","117","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名中包含空格的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:59 CST 2022","Wed Mar 09 16:38:59 CST 2022","133","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","测试促销结束格式错误的","商品促销设置接口测试用例"
"passed","Wed Mar 09 16:38:59 CST 2022","Wed Mar 09 16:38:59 CST 2022","130","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","测试促销结束时间为空","商品促销设置接口测试用例"
"failed","Wed Mar 09 16:39:05 CST 2022","Wed Mar 09 16:39:06 CST 2022","225","testcases.test_business_token_order_items05","test_business_token_order_items01","TestOrderItems","","","订单信息查询——上一次token值","订单信息查询接口测试用例"
"passed","Wed Mar 09 16:38:57 CST 2022","Wed Mar 09 16:38:58 CST 2022","138","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品价格有效数字：最大值边界","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:49 CST 2022","Wed Mar 09 16:38:49 CST 2022","130","testcases.test_business_register03","test_business_register03","TestRegister","","","正确流程","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:51 CST 2022","Wed Mar 09 16:38:51 CST 2022","118","testcases.test_business_register03","test_business_register03","TestRegister","","","密码区分大小写的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:52 CST 2022","Wed Mar 09 16:38:52 CST 2022","119","testcases.test_business_register03","test_business_register03","TestRegister","","","确认密码区分大小写的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:58 CST 2022","Wed Mar 09 16:38:58 CST 2022","129","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品价格非两位小数的数字","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:55 CST 2022","Wed Mar 09 16:38:55 CST 2022","170","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品信息录入—token为空","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:56 CST 2022","Wed Mar 09 16:38:56 CST 2022","136","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品描述为空","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:39:05 CST 2022","Wed Mar 09 16:39:05 CST 2022","217","testcases.test_business_token_order_items05","test_business_token_order_items01","TestOrderItems","","","订单信息查询—token区分大小写","订单信息查询接口测试用例"
"passed","Wed Mar 09 16:39:04 CST 2022","Wed Mar 09 16:39:04 CST 2022","158","testcases.test_business_token_login02","test_login05","TestLogin","","","测试密码为空的场景","商品登录模块接口测试用例"
"passed","Wed Mar 09 16:38:52 CST 2022","Wed Mar 09 16:38:52 CST 2022","118","testcases.test_business_register03","test_business_register03","TestRegister","","","手机号为非11位数字的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:56 CST 2022","Wed Mar 09 16:38:56 CST 2022","128","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品分类id不存在","商品信息录入接口测试用例"
"failed","Wed Mar 09 16:39:04 CST 2022","Wed Mar 09 16:39:04 CST 2022","127","testcases.test_business_token_login02","test_login05","TestLogin","","","测试用户名区分大小写的场景","商品登录模块接口测试用例"
"passed","Wed Mar 09 16:38:58 CST 2022","Wed Mar 09 16:38:59 CST 2022","144","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","测试促销开始时间格式错误的","商品促销设置接口测试用例"
"passed","Wed Mar 09 16:38:51 CST 2022","Wed Mar 09 16:38:51 CST 2022","117","testcases.test_business_register03","test_business_register03","TestRegister","","","密码为12位无效边界值的场景","商品注册模块接口测试用例"
"failed","Wed Mar 09 16:39:00 CST 2022","Wed Mar 09 16:39:01 CST 2022","151","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—上一次token值","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:59 CST 2022","Wed Mar 09 16:38:59 CST 2022","137","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","测试促销开始时间非日期类型","商品促销设置接口测试用例"
"passed","Wed Mar 09 16:38:51 CST 2022","Wed Mar 09 16:38:52 CST 2022","123","testcases.test_business_register03","test_business_register03","TestRegister","","","确认密码与密码不一致的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:57 CST 2022","Wed Mar 09 16:38:57 CST 2022","133","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品库存最大整数","商品信息录入接口测试用例"
"failed","Wed Mar 09 16:38:53 CST 2022","Wed Mar 09 16:38:53 CST 2022","124","testcases.test_business_register03","test_business_register03","TestRegister","","","生日超出当前时间","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:39:03 CST 2022","Wed Mar 09 16:39:03 CST 2022","130","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—商品编号非6位数字","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:52 CST 2022","Wed Mar 09 16:38:53 CST 2022","117","testcases.test_business_register03","test_business_register03","TestRegister","","","性别为非枚举值的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:39:02 CST 2022","Wed Mar 09 16:39:02 CST 2022","131","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（带商品）销售状态为0、促销状态为0","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:53 CST 2022","Wed Mar 09 16:38:54 CST 2022","121","testcases.test_business_register03","test_business_register03","TestRegister","","","qq为非数字","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:59 CST 2022","Wed Mar 09 16:38:59 CST 2022","128","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","测试销结束时间小于促销开始时间","商品促销设置接口测试用例"
"passed","Wed Mar 09 16:39:05 CST 2022","Wed Mar 09 16:39:05 CST 2022","171","testcases.test_business_token_order_items05","test_business_token_order_items01","TestOrderItems","","","订单信息查询主流程","订单信息查询接口测试用例"
"passed","Wed Mar 09 16:39:06 CST 2022","Wed Mar 09 16:39:06 CST 2022","218","testcases.test_business_token_order_items05","test_business_token_order_items01","TestOrderItems","","","订单信息查询订单编号不存在","订单信息查询接口测试用例"
"passed","Wed Mar 09 16:38:54 CST 2022","Wed Mar 09 16:38:54 CST 2022","125","testcases.test_business_token_goods_delete08","test_business_token_goods_delete01","TestGoodsDelete","","","测试商品编号为空","商品删除模块几口测试用例"
"passed","Wed Mar 09 16:38:56 CST 2022","Wed Mar 09 16:38:56 CST 2022","127","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品分类id为空","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:56 CST 2022","Wed Mar 09 16:38:56 CST 2022","127","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品名已存在的场景","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:57 CST 2022","Wed Mar 09 16:38:57 CST 2022","142","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品价格为空","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:57 CST 2022","Wed Mar 09 16:38:57 CST 2022","135","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品库存为字符","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:51 CST 2022","Wed Mar 09 16:38:51 CST 2022","141","testcases.test_business_register03","test_business_register03","TestRegister","","","密码纯字母的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:51 CST 2022","Wed Mar 09 16:38:51 CST 2022","117","testcases.test_business_register03","test_business_register03","TestRegister","","","密码包含特殊符号的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:51 CST 2022","Wed Mar 09 16:38:51 CST 2022","118","testcases.test_business_register03","test_business_register03","TestRegister","","","密码纯数字的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:49 CST 2022","Wed Mar 09 16:38:49 CST 2022","123","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名为空的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:39:05 CST 2022","Wed Mar 09 16:39:05 CST 2022","119","testcases.test_business_token_login02","test_login05","TestLogin","","","测试用户类型非普通的场景","商品登录模块接口测试用例"
"passed","Wed Mar 09 16:38:57 CST 2022","Wed Mar 09 16:38:57 CST 2022","129","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品库存为空","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:50 CST 2022","Wed Mar 09 16:38:51 CST 2022","140","testcases.test_business_register03","test_business_register03","TestRegister","","","密码为6位无效边界值的场景","商品注册模块接口测试用例"
"failed","Wed Mar 09 16:38:53 CST 2022","Wed Mar 09 16:38:53 CST 2022","121","testcases.test_business_register03","test_business_register03","TestRegister","","","生日为不合理的时间","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:39:01 CST 2022","Wed Mar 09 16:39:01 CST 2022","125","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（不带商品）销售状态为1","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:05 CST 2022","Wed Mar 09 16:39:05 CST 2022","125","testcases.test_business_token_order_items05","test_business_token_order_items01","TestOrderItems","","","订单信息查询—token为空","订单信息查询接口测试用例"
"passed","Wed Mar 09 16:39:02 CST 2022","Wed Mar 09 16:39:02 CST 2022","126","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（带商品）销售状态为1","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:50 CST 2022","Wed Mar 09 16:38:50 CST 2022","129","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名以非字母开头的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:39:02 CST 2022","Wed Mar 09 16:39:02 CST 2022","127","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（带商品）促销状态为1","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:54 CST 2022","Wed Mar 09 16:38:55 CST 2022","127","testcases.test_business_token_goods_delete08","test_business_token_goods_delete01","TestGoodsDelete","","","测试商品编号格式错误","商品删除模块几口测试用例"
"passed","Wed Mar 09 16:39:01 CST 2022","Wed Mar 09 16:39:01 CST 2022","127","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（不带商品）促销状态为0","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:52 CST 2022","Wed Mar 09 16:38:52 CST 2022","141","testcases.test_business_register03","test_business_register03","TestRegister","","","手机号为非数字的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:39:01 CST 2022","Wed Mar 09 16:39:01 CST 2022","124","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（不带商品）销售状态为0","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:02 CST 2022","Wed Mar 09 16:39:02 CST 2022","127","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（带商品）促销状态为0","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:00 CST 2022","Wed Mar 09 16:39:00 CST 2022","129","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询主流程","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:03 CST 2022","Wed Mar 09 16:39:03 CST 2022","130","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—销售状态为非枚举","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:02 CST 2022","Wed Mar 09 16:39:03 CST 2022","147","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（带商品）销售状态为1、促销状态为0","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:49 CST 2022","Wed Mar 09 16:38:49 CST 2022","143","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名为8位有效边界值的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:56 CST 2022","Wed Mar 09 16:38:56 CST 2022","130","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品名无效边界的场景","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:59 CST 2022","Wed Mar 09 16:38:59 CST 2022","127","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","测试销结束时间非日期类型","商品促销设置接口测试用例"
"passed","Wed Mar 09 16:38:54 CST 2022","Wed Mar 09 16:38:54 CST 2022","127","testcases.test_business_register03","test_business_register03","TestRegister","","","邮箱为空的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:52 CST 2022","Wed Mar 09 16:38:52 CST 2022","120","testcases.test_business_register03","test_business_register03","TestRegister","","","手机号已注册的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:55 CST 2022","Wed Mar 09 16:38:56 CST 2022","144","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品名有效边界的场景","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:39:02 CST 2022","Wed Mar 09 16:39:02 CST 2022","130","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（带商品）销售状态为0","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:04 CST 2022","Wed Mar 09 16:39:04 CST 2022","119","testcases.test_business_token_login02","test_login05","TestLogin","","","测试用户名为空的场景","商品登录模块接口测试用例"
"passed","Wed Mar 09 16:39:03 CST 2022","Wed Mar 09 16:39:04 CST 2022","125","testcases.test_business_token_login02","test_login05","TestLogin","","","正常流程","商品登录模块接口测试用例"
